pa_id,game_id,pa_result,base_state,score_diff,pitcher_name,pitcher_hand,pitch_count,rbi,runs_scored,exit_velocity,launch_angle,hit_distance,Bat Speed,spray_direction,batted_ball_type,hard_hit,role,pitch_velo,pitch_type
20260429_LAA_PA5,20260429_LAA,Walk,110,0,Drew Pomeranz,L,4,0,0,0,0,0,0,0,,FALSE,Starter,92.6,FF
20260501_SD_PA1,20260501_SD,Walk,000,0,Germán Márquez,R,5,0,0,0,0,0,0,0,,FALSE,Starter,94.6,FF
20260501_SD_PA2,20260501_SD,Home Run,101,+3,Germán Márquez,R,7,3,1,111.1,26,413,79,Pull,Fly Ball,TRUE,Starter,85.3,CU
20260501_SD_PA3,20260501_SD,Flyout,000,+6,Germán Márquez,R,2,0,0,104.3,58,244,79.3,Opposite,Popup,TRUE,Starter,93.1,FF
20260501_SD_PA4,20260501_SD,Walk,000,+7,Wandy Peralta,L,6,0,0,0,0,0,34.4,0,,FALSE,Starter,91,SL
20260501_SD_PA5,20260501_SD,Flyout,000,+6,Ron Marinaccio,R,4,0,0,99,30,382,73.7,Center,Fly Ball,TRUE,Starter,93,FF
20260502_SD_PA1,20260502_SD,Groundout,000,0,Michael King,R,6,0,0,81.1,-29,7,77.1,Pull,Ground Ball,FALSE,Starter,95.4,FF
20260502_SD_PA2,20260502_SD,Strikeout S,000,0,Michael King,R,4,0,0,0,0,0,73.7,0,,FALSE,Starter,94.7,FF
20260502_SD_PA3,20260502_SD,Groundout,110,0,Michael King,R,6,0,0,74.5,-50,2,70.2,Pull,Ground Ball,FALSE,Starter,87.2,CH
20260502_SD_PA4,20260502_SD,Strikeout L,000,0,Kyle Hart,L,5,0,0,0,0,0,0,0,,FALSE,Starter,85.6,SPL
20260503_SD_PA1,20260503_SD,Flyout,100,0,Griffin Canning,R,5,0,0,101.4,55,242,73.3,Opposite,Popup,TRUE,Starter,96.2,FF
20260503_SD_PA2,20260503_SD,Flyout,000,+1,Griffin Canning,R,2,0,0,95,25,332,74,Center,Line Drive,TRUE,Starter,94.6,FF
20260503_SD_PA3,20260503_SD,Strikeout L,000,-2,Adrián Morejón,L,5,0,0,0,0,0,0,0,,FALSE,Starter,89.8,SL
20260503_SD_PA4,20260503_SD,Strikeout L,000,0,Jason Adam,R,5,0,0,0,0,0,0,0,,FALSE,Starter,85.3,SL
20260504_LAA_PA1,20260504_LAA,Walk,100,0,José Soriano,R,4,0,0,0,0,0,0,0,,FALSE,Starter,98.3,SI
20260504_LAA_PA2,20260504_LAA,Groundout,110,+2,José Soriano,R,2,0,0,83.4,-6,25,69,Pull,Ground Ball,FALSE,Starter,98.3,FF
20260504_LAA_PA3,20260504_LAA,Home Run,100,+2,José Soriano,R,5,2,1,109,32,429,74.7,Center,Fly Ball,TRUE,Starter,98.1,FF
20260504_LAA_PA4,20260504_LAA,Double,000,+5,Mitch Farris,L,1,0,0,94.3,14,179,82,Pull,Line Drive,FALSE,Starter,89.6,FF
20260504_LAA_PA5,20260504_LAA,Single,000,+5,Mitch Farris,L,4,0,1,101.2,-4,18,73,Center,Ground Ball,TRUE,Starter,78.6,CH
20260505_LAA_PA1,20260505_LAA,Single,100,-2,Drew Pomeranz,L,5,0,0,100.4,2,62,74.5,Opposite,Ground Ball,TRUE,PH,84.9,CU
20260505_LAA_PA2,20260505_LAA,Strikeout S,100,-1,Ryan Zeferjahn,R,3,0,0,0,0,0,69,0,,FALSE,PH stayed in game,84.9,SL
20260506_LAA_PA1,20260506_LAA,Strikeout S,000,0,Walbert Ureña,R,5,0,0,0,0,0,76.9,0,,FALSE,Starter,92.1,CH
20260506_LAA_PA2,20260506_LAA,Strikeout S,000,-4,Walbert Ureña,R,4,0,0,0,0,0,64.6,0,,FALSE,Starter,96.5,FF
20260506_LAA_PA3,20260506_LAA,Strikeout S,000,-6,Walbert Ureña,R,5,0,0,0,0,0,75.3,0,,FALSE,Starter,91.4,CH
20260506_LAA_PA4,20260506_LAA,Strikeout L,111,-5,Drew Pomeranz,L,6,0,0,0,0,0,0,0,,FALSE,Starter,83.7,CU
20260508_SEA_PA1,20260508_SEA,Home Run,000,0,Emerson Hancock,R,2,1,1,106.2,32,380,70.5,Opposite,Fly Ball,TRUE,Starter,95.4,SI
20260508_SEA_PA2,20260508_SEA,Walk,100,-3,Emerson Hancock,R,7,0,0,0,0,0,0,0,,FALSE,Starter,95.2,FF
20260508_SEA_PA3,20260508_SEA,Strikeout S,000,-1,Emerson Hancock,R,4,0,0,0,0,0,65.9,0,,FALSE,Starter,75.6,SL
20260508_SEA_PA4,20260508_SEA,Groundout,000,-4,Eduard Bazardo,R,7,0,0,92.7,-14,9,77,Pull,Ground Ball,FALSE,Starter,82.8,SL
20260508_SEA_PA5,20260508_SEA,Strikeout S,000,-4,Joshua Simpson,L,6,0,0,0,0,0,72.6,0,,FALSE,Starter,92.7,SI
20260509_SEA_PA1,20260509_SEA,Flyout,010,0,Luis Castillo,R,5,0,0,105.8,54,292,71.2,Pull,Popup,TRUE,Starter,94.3,FF
20260509_SEA_PA2,20260509_SEA,Strikeout S,100,+2,Luis Castillo,R,3,0,0,0,0,0,75.8,0,,FALSE,Starter,81.9,SL
20260509_SEA_PA3,20260509_SEA,Flyout,000,+3,Josh Simpson,L,2,0,0,91.7,35,3348,71,Pull,Fly Ball,FALSE,Starter,81.8,SL
20260509_SEA_PA4,20260509_SEA,Strikeout S,010,+4,José Suarez,L,6,0,0,0,0,0,74.7,0,,FALSE,Starter,92.1,FF
20260510_SEA_PA1,20260510_SEA,Strikeout S,000,-1,Logan Gilbert,R,4,0,0,0,0,0,76.7,0,,FALSE,Starter,87.1,SL
20260510_SEA_PA2,20260510_SEA,Groundout,000,-1,Logan Gilbert,R,5,0,0,104.7,-119,6,75.8,Pull,Ground Ball,TRUE,Starter,85,SL
20260510_SEA_PA3,20260510_SEA,Single,000,-1,José A. Ferrer,L,3,0,0,95.8,18,246,0,Center,Line Drive,TRUE,Starter,86.5,CH
20260510_SEA_PA4,20260510_SEA,Intentional Walk,001,0,Eduard Bazardo,R,0,0,0,0,0,0,0,0,,FALSE,Starter,0,0
20260512_KC_PA1,20260512_KC,Strikeout S,100,-2,Stephen Kolek,R,6,0,0,0,0,0,56.6,0,,FALSE,Starter,86.5,CH
20260512_KC_PA2,20260512_KC,Walk,100,-2,Stephen Kolek,R,6,0,0,0,0,0,0,0,,FALSE,Starter,95,SI
20260512_KC_PA3,20260512_KC,Strikeout L,010,-1,Stephen Kolek,R,5,0,0,0,0,0,0,0,,FALSE,Starter,90.4,FC
20260512_KC_PA4,20260512_KC,Strikeout S,000,0,Daniel Lynch IV,L,5,0,0,0,0,0,69.9,0,,FALSE,Starter,86.8,SL
20260513_KC_PA1,20260513_KC,Single,000,0,Seth Lugo,R,7,0,0,93.3,5,71,77,Center,Ground Ball,FALSE,Starter,90.5,FC
20260513_KC_PA2,20260513_KC,Flyout,100,+2,Seth Lugo,R,4,0,0,98.3,42,302,73.6,Opposite,Fly Ball,TRUE,Starter,76.8,CU
